KEYWORD,LABEL
Agilent Technologies Inc.,COMPANY_NAME
Alcoa Corporation,COMPANY_NAME
Altaba Inc.,COMPANY_NAME
AAC Holdings Inc.,COMPANY_NAME
AdvisorShares Dorsey Wright ADR,COMPANY_NAME
American Airlines Group Inc.,COMPANY_NAME
Altisource Asset Management Corp Com,COMPANY_NAME
Atlantic American Corporation,COMPANY_NAME
Aaron's Inc.,COMPANY_NAME
Applied Optoelectronics Inc.,COMPANY_NAME
AAON Inc.,COMPANY_NAME
Advance Auto Parts Inc W/I,COMPANY_NAME
Apple Inc.,COMPANY_NAME
American Assets Trust Inc.,COMPANY_NAME
Almaden Minerals Ltd.,COMPANY_NAME
Atlas Air Worldwide Holdings,COMPANY_NAME
iShares MSCI All Country Asia ex Japan Index Fund,COMPANY_NAME
Axon Enterprise Inc.,COMPANY_NAME
AllianceBernstein Holding L.P. Units,COMPANY_NAME
ABB Ltd,COMPANY_NAME
AbbVie Inc.,COMPANY_NAME
AmerisourceBergen Corporation,COMPANY_NAME
Ameris Bancorp,COMPANY_NAME
Alcentra Capital Corp.,COMPANY_NAME
Abeona Therapeutics Inc.,COMPANY_NAME
Ambev S.A. American Depositary Shares (Each representing 1),COMPANY_NAME
Asbury Automotive Group Inc,COMPANY_NAME
Ability Inc.,COMPANY_NAME
ARCA biopharma Inc.,COMPANY_NAME
ABM Industries Incorporated,COMPANY_NAME
ABIOMED Inc.,COMPANY_NAME
Arbor Realty Trust,COMPANY_NAME
Abbott Laboratories,COMPANY_NAME
Allegiance Bancshares Inc.,COMPANY_NAME
Arbutus Biopharma Corporation,COMPANY_NAME
Associated Capital Group Inc.,COMPANY_NAME
Arcosa Inc.,COMPANY_NAME
ACADIA Pharmaceuticals Inc.,COMPANY_NAME
Aurora Cannabis Inc.,COMPANY_NAME
Atlantic Capital Bancshares Inc.,COMPANY_NAME
American Campus Communities Inc,COMPANY_NAME
Acco Brands Corporation,COMPANY_NAME
Acer Therapeutics Inc.,COMPANY_NAME
Aceto Corporation,COMPANY_NAME
Arch Capital Group Ltd.,COMPANY_NAME
Aluminum Corporation of China Limited American Depositary Shares,COMPANY_NAME
Acadia Healthcare Company Inc.,COMPANY_NAME
Achillion Pharmaceuticals Inc.,COMPANY_NAME
Achieve Life Sciences Inc.,COMPANY_NAME
Acacia Communications Inc.,COMPANY_NAME
SPDR MSCI ACWI IMI,COMPANY_NAME
AC Immune SA,COMPANY_NAME
ACI Worldwide Inc.,COMPANY_NAME
Axcelis Technologies Inc.,COMPANY_NAME
AECOM,COMPANY_NAME
ACM Research Inc.,COMPANY_NAME
Accenture plc Class A (Ireland),COMPANY_NAME
ACNB Corporation,COMPANY_NAME
Acorda Therapeutics Inc.,COMPANY_NAME
Aberdeen Income Credit Strategies Fund,COMPANY_NAME
Ares Commercial Real Estate Corporation,COMPANY_NAME
Aclaris Therapeutics Inc.,COMPANY_NAME
AcelRx Pharmaceuticals Inc.,COMPANY_NAME
Acasti Pharma Inc.,COMPANY_NAME
